Calendar Year	Pistols	Revolvers	Rifles	Shotguns	Misc. Firearms	Total Firearms
1986	16511	104571	37224	58943	199	217448
1987	24941	134611	42161	76337	9995	288045
1988	32570	99289	53896	68699	2728	257182
1989	41970	76494	73247	67559	2012	261282
1990	73398	106820	71834	104250	5323	361625
1991	79275	110058	91067	117801	2964	401165
1992	76824	113178	90015	119127	4647	403791
1993	59234	91460	94272	171475	14763	431204
1994	93959	78935	81835	146524	3220	404473
1995	97969	131634	90834	101301	2483	424221
1996	64126	90068	74557	97191	6055	331997
1997	44182	63656	76626	86263	4354	275081
1998	29537	15788	65807	89699	2513	203344
1999	34663	48616	65669	67342	4028	220318
2000	28636	48130	49642	35087	11132	172627
2001	32151	32662	50685	46174	10939	172611
2002	22555	34187	60644	31897	1473	150756
2003	16340	26524	62522	29537	6989	141912
2004	14959	24122	62403	31025	7411	139920
2005	19196	29271	92098	46129	7988	194682
2006	144779	28120	102829	57771	34022	367521
2007	45053	34662	80594	26949	17524	204782
2008	54030	28205	104544	41186	523	228488
2009	56402	32377	61072	36455	8438	194744
2010	80041	25286	76518	43361	16771	241977
