Calendar Year	Application to Make NFA Firearms	Manufactured and Imported	Application for Tax Exempt Transfer Between Licensees	Application for Taxpaid Transfer	Application for Tax-Exempt Transfer	Exported	Total Firearms Processed
1990	399	66084	23149	7024	54959	21725	173340
1991	524	80619	19507	5395	44146	40387	190578
1992	351	107313	26352	6541	45390	22120	208067
1993	310	70342	22071	7388	60193	24041	184345
1994	1076	97665	27950	7600	67580	34242	236113
1995	1226	95061	18593	8263	60055	31258	214456
1996	1174	103511	16931	6418	72395	40439	240868
1997	855	110423	18371	7873	70690	36284	244496
1998	1093	141101	27921	10181	93135	40221	313652
1999	1071	137373	28288	11768	95554	28128	302182
2000	1334	141763	23335	11246	96234	28672	302584
2001	2522	145112	25745	10799	101955	25759	311892
2002	1173	162321	25042	10686	92986	47597	339805
2003	1003	156620	21936	13501	107108	43668	343836
2004	980	83483	20026	14635	54675	19425	193224
2005	1902	65865	26603	14606	26210	20951	156137
2006	2610	188134	51290	20534	100458	42175	405201
2007	3553	296267	51217	22260	194794	76467	644558
2008	4583	424743	71404	26917	183271	206411	917329
2009	5345	371920	56947	31551	201267	163951	830981
2010	5169	296375	58875	33059	189449	136335	719262
2011	5477	530953	107066	33816	147341	311214	1135867
