State	Any Other Weapon	Destructive Device	Machinegun	Silencer	Short Barreled Rifle	Short Barreled Shotgun	Total
Alabama	1133	47421	15653	8550	1327	2075	76159
Alaska	311	3317	1617	2085	508	1101	8939
Arkansas	591	41962	4827	7218	1091	1017	56706
Arizona	1080	67185	16879	15860	5492	1851	108347
California	3698	212800	28774	7303	3738	12166	268479
Colorado	910	37444	6040	6475	2217	1389	54475
Connecticut District of	643	9886	22023	5170	1068	960	39750
Columbia	69	34841	4278	160	440	1048	40836
Delaware	32	2183	569	302	94	507	3687
Florida	3113	101418	29128	28312	7432	6125	175528
Georgia	1759	48026	22081	29259	3563	9422	114110
Hawaii	34	5503	429	105	55	59	6185
Iowa	876	11737	3262	301	343	936	17455
Idaho	588	14049	4342	9839	1103	398	30319
Illinois	958	83363	24651	1071	1214	1674	112931
Indiana	1430	34628	17019	16735	2343	8581	80736
Kansas	674	19379	3289	2266	1095	850	27553
Kentucky	1019	22239	10703	12046	1379	1638	49024
Louisiana	517	44821	6182	4359	1577	1508	58964
Massachusetts	837	12878	6555	3679	1315	887	26151
Maryland	933	45037	23709	7024	1713	3771	82187
Maine	570	2517	4664	1290	1420	410	10871
Michigan	1061	21221	9090	2887	700	1121	36080
Minnesota	2633	36066	6828	619	1183	1011	48340
Missouri	1330	24986	8230	4913	1864	2266	43589
Mississippi	410	6776	3886	3368	572	712	15724
Montana	404	2852	1892	2303	497	345	8293
North Carolina	820	69005	11234	8609	2850	2542	95060
North Dakota	199	1605	1480	1826	260	211	5581
Nebraska	717	5068	2049	2273	895	768	11770
New Hampshire	430	3459	9863	2782	1457	385	18376
New Jersey	425	37700	6895	965	688	2316	48989
New Mexico	277	60764	3709	2920	1094	607	69371
Nevada	679	30778	6843	6671	2621	767	48359
New York	2012	35707	7521	1153	1370	7342	55105
Ohio	1776	71814	18013	10407	2842	3822	108574
Oklahoma	1110	13004	7972	11964	1787	1470	37307
Oregon	1487	17492	6442	9841	2346	1309	38917
Pennsylvania	2043	148700	17384	12914	3853	12323	197217
Rhode Island	42	2710	595	27	106	112	3592
South Carolina	670	26358	6010	7457	1380	3655	45530
South Dakota	344	3352	1495	2022	264	175	7652
Tennessee	1502	32848	13442	9571	2623	5538	65524
Texas	6169	159805	28690	47712	9271	6557	258204
Utah	403	13960	6076	5857	1927	1160	29383
Virginia	2514	161841	30220	15736	6720	6272	223303
Vermont	221	2216	1070	68	134	94	3803
Washington	1726	34693	3805	8400	1174	752	50550
Wisconsin	747	25316	6385	4416	1419	1106	39389
West Virginia	431	8318	2438	2325	682	548	14742
Wyoming	286	102723	1659	1103	369	373	106513
Other US Territories	6	320	175	16	11	47	575
