Fiscal Year	Dealer	Pawn-broker	Collector	Ammunition Manufacturer	Firearms Manufacturer	Importer	Device Dealer	Device Manufacturer	Device Importer	Total
1975	146429	2813	5211	6668	364	403	9	23	7	161927
1976	150767	2882	4036	7181	397	403	4	19	8	165697
1977	157463	2943	4446	7761	408	419	6	28	10	173484
1978	152681	3113	4629	7735	422	417	6	35	14	169052
1979	153861	3388	4975	8055	459	426	7	33	12	171216
1980	155690	3608	5481	8856	496	430	7	40	11	174619
1981	168301	4308	6490	10067	540	519	7	44	20	190296
1982	184840	5002	8602	12033	675	676	12	54	24	211918
1983	200342	5388	9859	13318	788	795	16	71	36	230613
1984	195847	5140	8643	11270	710	704	15	74	40	222443
1985	219366	6207	9599	11818	778	881	15	85	45	248794
1986	235393	6998	10639	12095	843	1035	16	95	52	267166
1987	230888	7316	11094	10613	852	1084	16	101	58	262022
1988	239637	8261	12638	10169	926	1123	18	112	69	272953
1989	231442	8626	13536	8345	922	989	21	110	72	264063
1990	235684	9029	14287	7945	978	946	20	117	73	269079
1991	241706	9625	15143	7470	1059	901	17	120	75	276116
1992	248155	10452	15820	7412	1165	894	15	127	77	284117
1993	246984	10958	16635	6947	1256	924	15	128	78	283925
1994	213734	10872	17690	6068	1302	963	12	122	70	250833
1995	158240	10155	16354	4459	1242	842	14	118	71	191495
1996	105398	9974	14966	3144	1327	786	12	117	70	135794
1997	79285	9956	13512	2451	1414	733	13	118	72	107554
1998	75619	10176	14875	2374	1546	741	12	125	68	105536
1999	71290	10035	17763	2247	1639	755	11	127	75	103942
2000	67479	9737	21100	2112	1773	748	12	125	71	103157
2001	63845	9199	25145	1950	1841	730	14	117	72	102913
2002	59829	8770	30157	1763	1941	735	16	126	74	103411
2003	57492	8521	33406	1693	2046	719	16	130	82	104105
2004	56103	8180	37206	1625	2144	720	16	136	84	106214
2005	53833	7809	40073	1502	2272	696	15	145	87	106432
2006	51462	7386	43650	1431	2411	690	17	170	99	107316
2007	49221	6966	47690	1399	2668	686	23	174	106	108933
2008	48261	6687	52597	1420	2959	688	29	189	113	112943
2009	47509	6675	55046	1511	3543	735	34	215	127	115395
2010	47664	6895	56680	1759	4293	768	40	243	145	118487
2011	48676	7075	59227	1895	5441	811	42	259	161	123587
