State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Conneticut,Delaware ,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,1894,,,,,,,3,15,264,312,,,99,19,,,10,57,1,53,15,72,,47,20,,,,,38,5,109,55,1,30,7,,,2,20,2,67,62,3,,22,,,,
Alaska,,338,,,,,,,,,,2,7,,,,6,,,,,,,,,,,,,,,,,,1,,,27,,,,,,,,,,22,,,
Arizona,9,6,4571,3,995,27,,,,,,12,16,,15,,14,,,,,13,22,,4,,4,9,64,1,,30,48,,4,30,11,33,,,,1,,90,12,,,36,3,11,4
Arkansas,11,,,310,,,,,,,,,,88,,,18,9,32,,,,21,10,14,51,,6,,,,,,,3,,38,,,,,,19,92,,2,,,,20,
California,14,8,222,2,12481,62,,4,15,95,46,11,24,,23,17,15,7,29,1,42,38,23,19,10,33,17,22,133,1,,16,69,47,3,36,16,147,26,4,12,,,137,36,,33,102,5,9,2
Colorado,,5,49,2,129,1014,,,,,,1,10,,,7,14,,,1,,,,,,23,,8,27,,,19,,,1,,7,14,,,9,4,,50,11,,,12,,,8
Connecticut,,,,,,,544,,,,,,,,,,,,,2,,17,,,,,,,,,,,,,,,,,,9,,,,,,6,,,,,1
Delaware,,,,,,,,387,,,,,,,,,,,,,64,,,,,,,,,,34,,,,,,,,43,2,,,,,,,,,,,
District of Columbia,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,53,4,47,5,146,26,27,8,21,10603,281,,,111,37,10,,25,56,4,105,56,44,12,26,37,3,5,15,1,104,,341,205,2,78,12,14,93,14,50,,51,124,5,7,51,19,12,16,
Georgia,109,,35,7,137,,17,11,55,443,6390,,,100,25,8,9,29,54,2,127,60,68,,28,26,,,10,,145,3,332,220,1,51,15,,92,9,98,1,184,91,3,,73,9,3,12,1
Hawaii,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Idaho,,3,,,125,,,,,,,2,299,,,,,,,,,,,,,,,,18,,,,,,1,,,22,,,,,,,11,,,61,,,5
Illinois,,3,33,4,,,,,,,,,5,3953,66,15,9,10,,,,,21,11,7,130,,9,,,,,,,,27,,,,,,,21,,,2,,,3,81,
Indiana,,,,4,,,,3,,86,30,,,1048,3453,7,6,122,,1,,,82,24,,27,,5,9,,,,,,1,122,,9,,2,,,38,,,,,9,6,51,1
Iowa,,,,2,,,,,,,,,,87,,537,6,,,,,,,14,,,,65,,,,,,,1,,,,,,,1,,,,,,,,,1
Kansas,,,,,,19,,,,,,,,,,9,836,,,,,,,,,151,4,14,,,,3,,,,,28,,,,,,,,,,,,,,3
Kentucky,22,2,,3,,,,3,,95,44,,,167,97,,,1336,13,,30,,74,,,,,,,,19,3,,51,,285,,,24,,19,,141,,,2,25,,22,11,
Louisiana,15,,,8,101,13,,5,,,74,,,,,9,6,,3992,,,,,,78,,,5,,1,,,,36,1,,11,,,2,,,27,232,,2,21,,,,1
Maine,,,,,,,17,3,,,,,,,,,,,,194,,79,,,,,,,,20,,,,,1,,,,,9,,,,,,,,,,,
Maryland,,,,,,,,52,232,,,,,,,,,,,1,2718,,,,,,,,,,,,,,,,,,62,,,,,,,,73,,12,,
Massachusetts,,,,,,,15,,,,,,,,,,,,,13,,351,,,,,,,,7,,4,,,,,,,,15,,,,,,8,,,,,
Michigan,,10,38,5,,,,,,109,,1,5,98,40,,9,14,,1,,,2070,11,4,,,,,1,,,,,,75,,9,,,14,,23,,,,,,4,23,1
Minnesota,,4,,,,,,,,,,,,,,21,,,,,,,,995,,,,,,,,,,,10,,,,,,,3,,,,,,,,40,
Mississippi,56,4,,8,,,,,9,,65,1,,338,24,7,8,,196,,,,33,8,1062,29,,,9,,,4,,,,,7,,,2,,,37,63,4,,,,3,50,
Missouri,,,,7,,12,,,,,,1,,173,17,17,124,,,1,,,,,,2094,,14,,1,,,,,,,25,10,,,,,,,,,,,,,1
Montana,,3,,16,,,,,,,,1,12,,,,,,,,,,,,,,230,,,,,,,,5,,,16,,,,,,,3,,,29,,,7
Nebraska,,,,,,14,,,,,,,,,,28,6,,,2,,,,,,,,494,8,,,,,,1,,,,,,,2,,,,,,,,,5
Nevada,,2,58,,491,14,,,,,,4,7,,,,,,,1,,,,,,,5,,1001,,,,,,1,,,27,,,,,,,6,,,32,,,1
New Hampshire,,,,,,,16,3,,,,,,,,,,,,8,,133,,,,,,,,83,,,,,,,,,,6,,,,,,27,,,,,
New Jersey,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,432,,,,,,,,50,,,1,,,,,,,,,
New Mexico,,,57,,112,40,,,,,,,5,,,,8,,,,,,,,,,,,8,,,528,,,,,10,,,,,,,63,3,,,,,,
New York,,,,,,,16,10,,99,,,,,,,,7,,7,,,,,,,4,,,,51,,1595,41,2,,,,49,3,9,1,,,,8,,,,,
North Carolina,18,2,,,,,25,12,77,127,113,1,,,15,,,8,19,1,153,31,,,17,,,,,,196,,349,5470,4,,7,,73,,144,,28,40,3,,149,,6,9,1
North Dakota,,,,,,,,,,,,,,,,,,,,,,,,18,,,4,,,,,,,,80,,,,,,,,,,,,,,,,
Ohio,,,40,,95,,10,8,19,146,64,,,128,69,8,,72,20,1,53,20,169,16,9,21,3,6,9,,82,3,170,83,1,5225,,,123,4,40,,33,62,,2,31,11,88,15,1
Oklahoma,,5,43,,131,19,,,,,,1,,,,,28,,13,,,,,,4,38,5,8,,1,,9,,,2,,1117,12,,,,,,171,,,,,,,
Oregon,,6,38,,275,,8,,,,,1,26,,,,,,,,,,,,,,5,,8,,,,,,,,,1514,,,,1,,,10,,,133,,,1
Pennsylvania,13,2,31,2,,,12,60,28,103,34,2,,,,,8,,,2,265,13,35,,5,,3,7,,3,363,3,368,56,,70,,,5087,4,21,,,,,,66,,19,,1
Rhode Island,,,,,,,,,,,,,,,,,,,,1,,14,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,
South Carolina,,,,,,,11,5,29,93,221,2,,,,,,,13,1,95,18,,,4,,,11,,,122,,328,398,,,,,76,4,1671,,19,,,,36,,3,,
South Dakota,,,,,,13,,,,,,,,,,14,,,,,,,,10,,,3,,,,,,,,2,,,,,,,62,,,,,,,,,
Tennessee,41,,,12,,,,,9,105,114,1,,136,17,,6,46,27,1,28,,48,,52,34,,,9,1,28,,56,94,,37,,,,,19,1,1733,,,2,45,9,,15,
Texas,40,2,96,46,357,68,,8,15,179,99,1,4,136,26,10,28,20,213,4,50,18,47,32,37,58,4,20,30,3,40,46,110,86,2,58,87,20,58,2,20,5,48,8542,6,8,53,31,3,19,
Utah,,2,,,143,25,13,,,,,1,8,,,,,,,,,,,,,,,,41,,,6,,,,,,,,,,,,,416,,,14,,,3
Vermont,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,123,,,,,
Virginia,9,,,2,,,13,19,232,115,88,,4,,,,,15,26,1,418,20,,,9,,,,,,170,,407,339,,31,,,131,11,32,1,32,40,,,3521,,29,,1
Washington,,11,47,,267,,,,,,,3,48,,,,,,,,,,,9,4,,6,,29,1,,3,,,,,,134,,,,1,,,8,2,,1617,,,
West Virginia,9,,,,,,,7,25,,,1,,,,,,12,,1,146,,52,,,,,,,1,44,,59,61,,133,,,86,3,20,,,,,,63,,449,,
Wisconsin,,2,,2,,,,,,,,,,251,16,,,,,,,,,70,4,,3,,,,,,,,,,,,,,,2,,,,,,,,1591,
Wyoming,,2,,,,27,,,,,,,7,,,,,,,,,,,,,,9,,,,,,,,,,,11,,,,2,,,8,,,10,,,57
